Date,Team,Acquired,Relinquished,Notes
11/26/2010,Celtics,,Delonte West,placed on IL withi broken right wrist
11/26/2010,Celtics,Rajon Rondo,,activated from IL
11/26/2010,Grizzlies,,Acie Law,placed on IL with flu
11/26/2010,Grizzlies,DeMarre Carroll,,activated from IL
11/26/2010,Mavericks,Alex Ajinca,,activated from IL
11/26/2010,Raptors,,Reggie Evans,broken right foot (out indefinitely)
11/26/2010,Thunder,,Nenad Krstic,placed on IL with back spasms
11/26/2010,Thunder,B.J. Mullens,,activated from IL
11/26/2010,Warriors,,Brandan Wright,strained lower back (DNP)
11/26/2010,Mavericks,,Brendan Haywood,placed on IL for suspension
11/27/2010,76ers,,Craig Brackins,placed on IL
11/27/2010,76ers,Darius Songaila,,activated from IL
11/27/2010,Bucks,,Andrew Bogut,sore back (DNP)
11/27/2010,Bucks,,Carlos Delfino,placed on IL witih strained neck
11/27/2010,Bucks,,Corey Maggette,sore left ankle (DNP)
11/27/2010,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
11/27/2010,Bucks,Chris Douglas-Roberts,,activated from IL
11/27/2010,Bulls,,John Lucas III,placed on IL
11/27/2010,Bulls,Derrick Rose,,activated from IL
11/27/2010,Mavericks,,Alex Ajinca,placed on IL
11/27/2010,Warriors,,Brandan Wright,placed on IL with strained lower back
11/27/2010,Warriors,David Lee,,activated from IL
11/27/2010,Wizards,,John Wall ,bruised right knee (P) / sore left knee (CBC) (DNP)
11/27/2010,Mavericks,Brendan Haywood,,activated from IL
11/28/2010,Blazers,,Sean Marks,sprained right ankle (DNP)
11/28/2010,Clippers,,Randy Foye,strained left hamstring (DNP)
11/28/2010,Knicks,,Ronny Turiaf,placed on IL with sore left knee
11/28/2010,Knicks,,Toney Douglas,bruised right quadriceps (DNP)
11/28/2010,Knicks,Shawne Williams,,activated from IL
11/28/2010,Lakers,,Devin Ebanks,gastroenteritis (DNP)
11/28/2010,Nets,,Joe Smith ,placed on IL
11/28/2010,Nets,Troy Murphy,,activated from IL
11/28/2010,Nuggets,,Renaldo Balkman,placed on IL
11/28/2010,Nuggets,Chauncey Billups,,activated from IL
11/28/2010,Pacers,,Paul George,placed on IL
11/28/2010,Pacers,Dahntay Jones,,activated from IL
11/28/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP)
11/28/2010,Raptors,,Reggie Evans,broken right foot (DNP)
11/29/2010,Bucks,,Andrew Bogut,sore back (DNP)
11/29/2010,Bucks,,Corey Maggette,illness (DNP)
11/29/2010,Bucks,,Drew Gooden,left foot injury (DNP)
11/29/2010,Hornets,,Aaron Gray,placed on IL
11/29/2010,Hornets,David Andersen,,activated from IL
11/29/2010,Thunder,,B.J. Mullens,placed on IL
11/29/2010,Thunder,Nenad Krstic,,activated from IL
11/29/2010,Wizards,,John Wall ,bruised right knee (P) (DNP)
11/30/2010,Celtics,,Delonte West,surgery to repair broken right wrist
11/30/2010,Grizzlies,,Darrell Arthur,placed on IL with strained left groin
11/30/2010,Grizzlies,Acie Law,,activated from IL
11/30/2010,Kings,Francisco Garcia,,activated from IL
11/30/2010,Knicks,Toney Douglas,,returned to lineup
11/30/2010,Magic,,Malik Allen,placed on IL
11/30/2010,Magic,Vince Carter,,activated from IL
12/1/2010,Bucks,,Andrew Bogut,sore back (DNP)
12/1/2010,Bulls,,Brian Scalabrine,placed on IL
12/1/2010,Bulls,Carlos Boozer,,activated from IL
12/1/2010,Clippers,,Randy Foye,placed on IL with strained left hamstring
12/1/2010,Clippers,Baron Davis,,activated from IL
12/1/2010,Hawks,,Joe Johnson,placed on IL with loose particle in right elbow
12/1/2010,Hawks,Etan Thomas,,activated from IL
12/1/2010,Magic,,J.J. Redick,placed on IL with stomach virus
12/1/2010,Magic,Malik Allen,,activated from IL
12/1/2010,Mavericks,,Dominique Jones,placed on IL
12/1/2010,Mavericks,Steve Novak,,activated from IL
12/1/2010,Nets,,Devin Harris,placed on IL with sprained left knee
12/1/2010,Nets,Quinton Ross,,activated from IL
12/1/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP)
12/1/2010,Raptors,,Reggie Evans,placed on IL recovering from surgery to repair broken right foot
12/1/2010,Raptors,Ed Davis ,,activated from IL
12/1/2010,Thunder,,Kevin Durant,placed on IL with sprained left knee
12/1/2010,Thunder,B.J. Mullens,,activated from IL
12/1/2010,Wizards,,Hamady N'Diaye,placed on IL
12/1/2010,Wizards,Al Thornton,,activated from IL
12/2/2010,Clippers,Chris Kaman,,activated from IL
12/2/2010,Hawks,,Joe Johnson,arthroscopic surgery on right elbow to remove loose particle (out indefinitely)
12/3/2010,76ers,,Darius Songaila,placed on IL
12/3/2010,76ers,Andre Iguodala,,activated from IL (P)
12/3/2010,Blazers,,Luke Babbitt,placed on IL
12/3/2010,Blazers,Joel Przybilla,,activated from IL
12/3/2010,Bobcats,,DeSagana Diop,placed on IL (P)
12/3/2010,Bulls,,Kurt Thomas,placed on IL
12/3/2010,Bulls,Brian Scalabrine,,activated from IL
12/3/2010,Clippers,,Willie Warren,placed on IL
12/3/2010,Grizzlies,,DeMarre Carroll,placed on IL
12/3/2010,Grizzlies,Darrell Arthur,,activated from IL
12/3/2010,Hornets,,David West,stomach virus (DNP)
12/3/2010,Magic,,Dwight Howard,stomach virus (DNP)
12/3/2010,Magic,,Jameer Nelson,stomach virus (DNP)
12/3/2010,Magic,,Mickael Pietrus,placed on IL with stomach flu
12/3/2010,Nuggets,,Melvin Ely,placed on IL
12/3/2010,Nuggets,Renaldo Balkman,,activated from IL
12/3/2010,Pacers,,Jeff Foster,placed on IL
12/3/2010,Pacers,A.J. Price,,activated from IL
12/3/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP)
12/3/2010,Wizards,,Nick Young,placed on IL with bruised left thigh
12/3/2010,Wizards,Jianlian Yi,,activated from IL
12/3/2010,Magic,J.J. Redick,,activated from IL
12/3/2010,Magic,,J.J. Redick,stomach virus (DNP)
12/4/2010,Bucks,,Drew Gooden,placed on IL with left foot injury
12/4/2010,Bulls,,Brian Scalabrine,placed on IL
12/4/2010,Bulls,Kurt Thomas,,activated from IL
12/4/2010,Cavaliers,,J.J. Hickson,placed on IL with illness
12/4/2010,Cavaliers,,Joey Graham,placed on IL with illness
12/4/2010,Cavaliers,Manny Harris,,activated from IL
12/4/2010,Cavaliers,Samardo Samuels,,activated from IL
12/4/2010,Magic,,Dwight Howard,stomach virus (DNP)
12/4/2010,Magic,,J.J. Redick,stomach virus (DNP)
12/4/2010,Magic,,Jameer Nelson,stomach virus (DNP)
12/4/2010,Magic,,Ryan Anderson,sprained right foot (DNP)
12/4/2010,Timberwolves,,Anthony Tolliver,placed on IL with sprained MCL in right knee
12/4/2010,Timberwolves,,Michael Beasley,sprained right ankle (DNP)
12/4/2010,Timberwolves,Nikola Pekovic,,activated from IL
12/5/2010,Cavaliers,,Manny Harris,placed on IL
12/5/2010,Cavaliers,,Samardo Samuels,placed on IL
12/5/2010,Cavaliers,J.J. Hickson,,activated from IL
12/5/2010,Cavaliers,Joey Graham,,activated from iL
12/5/2010,Celtics,,Rajon Rondo,strained hamstring (DNP)
12/5/2010,Grizzlies,DeMarre Carroll,,activated from IL
12/5/2010,Hornets,,Didier Mbenga ,placed on IL with illness
12/5/2010,Hornets,Aaron Gray,,activated from IL
12/5/2010,Nets,,Ben Uzoh,placed on IL
12/5/2010,Nets,Devin Harris,,activated from IL
12/5/2010,Nuggets,,Chris Andersen,placed on IL with fracture in lower back
12/5/2010,Nuggets,Melvin Ely,,activated from IL
12/5/2010,Raptors,,Peja Stojakovic,sore/swollen left knee (DNP)
12/5/2010,Thunder,,D.J. White,sprained right ankle (DTD)
12/5/2010,Thunder,,Morris Peterson,placed on IL
12/5/2010,Thunder,Kevin Durant,,activated from IL
12/5/2010,Warriors,,Rodney Carney,sprained left foot (DTD)
12/5/2010,Wizards,,Kevin Seraphin,placed on IL (P)
12/5/2010,Wizards,Nick Young,,activated from IL
12/6/2010,Bucks,,Brian Skinner,placed on IL
12/6/2010,Bulls,,Kurt Thomas,placed on IL
12/6/2010,Bulls,Brian Scalabrine,,activated from IL
12/6/2010,Clippers,,Chris Kaman,placed on IL with sprained left ankle
12/6/2010,Clippers,Willie Warren,,activated from IL
12/6/2010,Hawks,,Jordan Crawford,placed on IL
12/6/2010,Knicks,,Bill Walker,placed on IL
12/6/2010,Knicks,Ronny Turiaf,,activated from IL
12/6/2010,Magic,,Jameer Nelson,stomach flu (DNP)
12/6/2010,Magic,,Ryan Anderson,placed on IL
12/6/2010,Magic,Mickael Pietrus,,activated from IL
12/6/2010,Bucks,Drew Gooden,,activated from IL
12/6/2010,Bucks,,Drew Gooden,patella tendinitis in left foot (DNP)
12/7/2010,Mavericks,,Tyson Chandler,placed on IL with stomach flu
12/7/2010,Mavericks,Alex Ajinca,,activated from IL
12/7/2010,Nets,,Stephen Graham,placed on IL
12/7/2010,Nets,Ben Uzoh,,activated from IL
12/7/2010,Pistons,DaJuan Summers,,activated from IL
12/7/2010,Warriors,,Rodney Carney,placed on IL with sprained left ankle
12/7/2010,Warriors,Lou Amundson,,activated from IL
12/7/2010,Wizards,,Andray Blatche,placed on IL with bruised hip
12/7/2010,Wizards,Kevin Seraphin,,activated from IL
12/8/2010,Bucks,,Drew Gooden,placed on IL
12/8/2010,Bucks,Brian Skinner,,activated from IL
12/8/2010,Bulls,,Brian Scalabrine,placed on IL
12/8/2010,Bulls,Kurt Thomas,,activated from IL
12/8/2010,Cavaliers,,Jamario Moon,placed on IL
12/8/2010,Cavaliers,Manny Harris,,activated from IL
12/8/2010,Celtics,Rajon Rondo,,returned to lineup
12/8/2010,Hornets,,Aaron Gray,placed on IL
12/8/2010,Hornets,Didier Mbenga ,,activated from IL
12/8/2010,Jazz,,Kyrylo Fesenko,sprained left ankle (DNP)
12/8/2010,Knicks,,Andy Rautins,placed on IL
12/8/2010,Knicks,Bill Walker,,activated from IL
12/8/2010,Nuggets,,Carmelo Anthony,right knee inflammation (DNP)
12/8/2010,Pacers,,Dahntay Jones,placed on IL
12/8/2010,Pacers,Jeff Foster,,activated from IL
12/8/2010,Pistons,,DaJuan Summers,placed on IL
12/8/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP)
12/8/2010,Timberwolves,,Darko Milicic,bruised right quadriceps (DNP)
12/8/2010,Wizards,,John Wall ,sore left foot (DNP)
12/9/2010,76ers,,Jason Kapono,placed on IL with calf injury
12/9/2010,76ers,Darius Songaila,,activated from IL
12/9/2010,Celtics,,Shaquille O'Neal,sore right calf (P) / sore left knee (CBC) (DNP)
12/9/2010,Mavericks,,Alex Ajinca,placed on IL
12/9/2010,Mavericks,Tyson Chandler,,activated from IL
12/9/2010,Nets,,Ben Uzoh,placed on IL
12/9/2010,Nets,,Derrick Favors,placed on IL with bruised thigh
12/9/2010,Nets,Joe Smith ,,activated from IL
12/10/2010,Bobcats,,Tyrus Thomas,quadriceps injury (DTD)
12/10/2010,Hawks,,Zaza Pachulia,illness (DTD)
12/10/2010,Jazz,,Raja Bell,groin injury (DTD)
12/10/2010,Raptors,,Jose Calderon,sore left foot (DTD)
12/10/2010,Thunder,,Nenad Krstic,back injury (DTD)
12/10/2010,Thunder,D.J. White,,returned to lineup
12/10/2010,Timberwolves,Darko Milicic,,returned to lineup
12/10/2010,Warriors,,Stephen Curry,sprained right ankle (DTD)
12/10/2010,Warriors,Ekpe Udoh,,activated from IL
12/10/2010,Wizards,Andray Blatche,,activated from IL
12/11/2010,Bobcats,,Sherron Collins,placed on IL
12/11/2010,Bobcats,,Tyrus Thomas,placed on IL
12/11/2010,Bobcats,DeSagana Diop,,activated from IL
12/11/2010,Bobcats,Eduardo Najera,,activated from IL
12/11/2010,Bulls,,Kurt Thomas,placed on IL
12/11/2010,Bulls,Brian Scalabrine,,activated from IL
12/11/2010,Cavaliers,,Ryan Hollins,stomach virus (DTD)
12/11/2010,Hawks,,Zaza Pachulia,placed on IL with illness
12/11/2010,Hawks,Jordan Crawford,,activated from IL
12/11/2010,Jazz,,Kyrylo Fesenko,sprained left ankle (DNP)
12/11/2010,Jazz,,Raja Bell,strained right abductor (DNP)
12/11/2010,Nuggets,,Carmelo Anthony,right knee patella tendinitis (DNP)
12/11/2010,Pacers,,Jeff Foster,placed on IL
12/11/2010,Pacers,Dahntay Jones,,activated from IL
12/11/2010,Raptors,,Jose Calderon,placed on IL with left foot injury
12/11/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP)
12/11/2010,Raptors,Solomon Alabi,,activated from IL
12/11/2010,Thunder,,B.J. Mullens,placed on IL
12/11/2010,Thunder,Morris Peterson,,activated from IL
12/11/2010,Warriors,,Stephen Curry,placed on IL with sprained left ankle (P)
12/11/2010,Wizards,,Kevin Seraphin,placed on IL
12/12/2010,Magic,,Chris Duhon,strained lower back (DNP)
12/12/2010,Nets,,Damion James,placed on IL with broken right foot
12/12/2010,Nets,,Troy Murphy,placed on IL
12/12/2010,Nets,Derrick Favors,,activated from IL
12/12/2010,Nets,Stephen Graham,,activated from IL
12/12/2010,Thunder,,Nenad Krstic,placed on IL with sprained lower back
12/12/2010,Thunder,B.J. Mullens,,activated from IL
12/13/2010,Bucks,,Brian Skinner,placed on IL
12/13/2010,Bucks,Drew Gooden,,activated from IL
12/13/2010,Grizzlies,,DeMarre Carroll,placed on IL
12/13/2010,Grizzlies,Hamed Haddadi,,activated (P)
12/13/2010,Hornets,,Didier Mbenga ,placed on IL
12/13/2010,Hornets,Aaron Gray,,activated from IL
12/13/2010,Jazz,,Raja Bell,strained right abductor (DNP)
12/13/2010,Mavericks,,Alex Ajinca,placed on IL (P)
12/13/2010,Mavericks,Brian Cardinal,,activated
12/13/2010,Nets,,Damion James,surgery to insert screw to repair broken right foot (out indefinitely)
12/13/2010,Pacers,,A.J. Price,placed on IL
12/13/2010,Pacers,,Danny Granger,placed on IL with sprained left ankle
12/13/2010,Pacers,Dahntay Jones,,activated from IL (P)
12/13/2010,Pacers,Paul George,,activated from IL
12/14/2010,Bobcats,,DeSagana Diop,placed on IL
12/14/2010,Bobcats,,Eduardo Najera,placed on IL
12/14/2010,Bobcats,Gerald Henderson Jr.,,activated from IL
12/14/2010,Bobcats,Tyrus Thomas,,activated from IL
12/14/2010,Kings,,Tyreke Evans,left foot injury (DTD)
12/14/2010,Lakers,,Devin Ebanks,placed on IL
12/14/2010,Lakers,Andrew Bynum,,activated from IL
12/14/2010,Magic,,Mickael Pietrus,sprained left knee (DNP)
12/14/2010,Magic,,Quentin Richardson,sore left elbow (DNP)
12/14/2010,Nets,,Terrence Williams,placed on IL
12/14/2010,Nets,Ben Uzoh,,activated from IL
12/14/2010,Nuggets,,Chauncey Billups,sprained right wrist (DNP)
12/14/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP)
12/14/2010,Timberwolves,,Kosta Koufos,placed on IL
12/14/2010,Timberwolves,,Sundiata Gaines,placed on IL
12/14/2010,Timberwolves,Jonny Flynn,,activated from IL
12/14/2010,Timberwolves,Martell Webster,,activated from IL
12/14/2010,Wizards,,Andray Blatche,placed on IL with sore left knee
12/14/2010,Wizards,,John Wall ,placed on IL with right knee tendinitis (P) / sore left foot (CBC)
12/14/2010,Wizards,Hamady N'Diaye,,activated from IL
12/14/2010,Wizards,Kevin Seraphin,,activated from IL
12/15/2010,Bobcats,,Gerald Wallace,placed on IL with sprained left ankle
12/15/2010,Bobcats,DeSagana Diop,,activated from IL
12/15/2010,Bucks,,John Salmons,back spasms (DNP)
12/15/2010,Bulls,,Joakim Noah,torn ligament in right thumb (out indefinitely)
12/15/2010,Bulls,,Kurt Thomas,placed on IL (P)
12/15/2010,Bulls,Brian Scalabrine,,activated from IL (P)
12/15/2010,Celtics,,Shaquille O'Neal,sore right calf (DNP)
12/15/2010,Clippers,,Willie Warren,placed on IL
12/15/2010,Clippers,Randy Foye,,activated from IL
12/15/2010,Hornets,,Aaron Gray,placed on IL
12/15/2010,Hornets,Didier Mbenga ,,activated from IL
12/15/2010,Lakers,Devin Ebanks,,activated from IL
12/15/2010,Pacers,Danny Granger,,activated from IL
12/15/2010,Raptors,,Andrea Bargnani,sore left knee (DNP)
12/15/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP)
12/15/2010,Suns,,Garret Siler,placed on IL
12/15/2010,Suns,Robin Lopez,,activated from IL
12/15/2010,Wizards,,Jianlian Yi,sprained right knee (out indefinitely)
12/15/2010,Lakers,,Joe Smith ,placed on IL
12/16/2010,Bulls,,Joakim Noah,surgery on right thumb to repair torn ligament (out indefinitely)
12/16/2010,Celtics,,Rajon Rondo,sprained left ankle (DNP)
12/16/2010,Celtics,,Shaquille O'Neal,sore right calf (DNP)
12/16/2010,Hawks,,Jamal Crawford,placed on IL with sore back
12/16/2010,Hawks,Jordan Crawford,,activated from IL (P)
12/16/2010,Nets,,Anthony Morrow,strained right hamstring (DNP)
12/16/2010,Nets,,Sasha Vujacic,placed on IL
12/16/2010,Nets,Troy Murphy,,activated from IL
12/16/2010,Nuggets,,Chauncey Billups,torn ligament in right wrist (DNP)
12/16/2010,Rockets,,Yao Ming,stress fracture in left ankle (out for season)
12/16/2010,Spurs,,Tiago Splitter,strained right adductor (DTD)
12/16/2010,Wizards,,John Wallace,right knee tendinitis (DNP)
12/16/2010,Wizards,,Jianlian Yi,placed on IL with sprained right knee
12/16/2010,Wizards,John Wallace,,activated
12/17/2010,Blazers,,Brandon Roy,sore left knee (DNP)
12/17/2010,Cavaliers,,Joey Graham,placed on IL with partially torn right quadriceps
12/17/2010,Cavaliers,,Leon Powe,placed on IL with finger injury
12/17/2010,Cavaliers,Jamario Moon,,activated from IL
12/17/2010,Cavaliers,Samardo Samuels,,activated from IL
12/17/2010,Hawks,,Jordan Crawford,placed on IL
12/17/2010,Hawks,Joe Johnson,,activated from IL
12/17/2010,Jazz,,Jeremy Evans,placed on IL
12/17/2010,Jazz,Mehmet Okur,,activated from IL
12/17/2010,Lakers,,Devin Ebanks,placed on IL
12/17/2010,Lakers,Joe Smith ,,activated from IL
12/17/2010,Nets,,Anthony Morrow,placed on IL
12/17/2010,Nets,Sasha Vujacic,,activated from IL
12/17/2010,Pacers,,Paul George,placed on IL
12/17/2010,Pistons,,Austin Daye,placed on IL with strained hamstring
12/17/2010,Pistons,DaJuan Summers,,activated from IL
12/17/2010,Raptors,,Peja Stojakovic,placed on IL with swollen left knee
12/17/2010,Raptors,,Sonny Weems,sore lower back (DNP)
12/17/2010,Raptors,Jose Calderon,,activated from IL
12/17/2010,Thunder,,Morris Peterson,placed on IL
12/17/2010,Thunder,Cole Aldrich,,activated from IL
12/17/2010,Timberwolves,,Lazar Hayward,placed on IL
12/17/2010,Timberwolves,Kosta Koufos,,activated from IL
12/18/2010,Blazers,,Brandon Roy,sore left knee (DNP)
12/18/2010,Blazers,,Joel Przybilla,placed on IL with left ankle injury
12/18/2010,Blazers,,Marcus Camby,sore right shoulder (DNP)
12/18/2010,Blazers,,Nicolas Batum,sore right shoulder (DNP)
12/18/2010,Bulls,,Joakim Noah,placed on IL recovering from surgery on right thumb to repair torn ligament
12/18/2010,Bulls,Kurt Thomas,,activated from IL
12/18/2010,Clippers,,Brian Cook,placed on IL with sprained right ankle
12/18/2010,Clippers,Willie Warren,,activated from IL
12/18/2010,Jazz,,Gordon Hayward,placed on IL
12/18/2010,Jazz,Jeremy Evans,,activated from IL
12/18/2010,Nuggets,,Chauncey Billups,torn ligament in right wrist (DNP)
12/18/2010,Spurs,,George Hill,sprained right big toe (DNP)
12/18/2010,Timberwolves,,Darko Milicic,placed on IL with sprained ankle
12/18/2010,Timberwolves,,Nikola Pekovic,placed on IL with sprained left ankle
12/18/2010,Timberwolves,Lazar Hayward,,activated from IL
12/18/2010,Timberwolves,Sundiata Gaines,,activated from IL
12/18/2010,Warriors,,Andris Biedrins,placed on IL with sprained left ankle
12/18/2010,Warriors,Rodney Carney,,activated from IL
12/18/2010,Wizards,,John Wallace,placed on IL with right knee tendinitis
12/18/2010,Wizards,Andray Blatche,,activated from IL
12/18/2010,Wizards,Josh Howard,,activated from IL
12/18/2010,Blazers,Luke Babbitt,,activated from IL
12/19/2010,Celtics,,Rajon Rondo,sprained left ankle (DNP)
12/19/2010,Kings,,Jason Thompson,placed on IL with lacerated right ring finger
12/19/2010,Kings,Jermaine Taylor,,activated from IL
12/19/2010,Lakers,,Derrick Caracter,placed on IL
12/19/2010,Lakers,Devin Ebanks,,activated from IL
12/19/2010,Nets,,Quinton Ross,bruised lower back (DNP)
12/19/2010,Pacers,,Josh McRoberts,placed on IL with abdominal strain
12/19/2010,Pacers,A.J. Price,,activated from IL
12/19/2010,Pistons,,Richard Hamilton,upset stomach (DNP)
12/19/2010,Pistons,,Rodney Stuckey,sore left big toe (DNP)
12/19/2010,Raptors,,Andrea Bargnani,sore right ankle (DNP)
